Tipo,Descripcion,Habitaciones,Baños,Área,Barrio,UPZ,Valor
Apartamento,Apartamento en venta en Alhambra,2,2,113,Alhambra,La Alhambra,$ 480.000.000
Casa,Casa en venta en Usaquén,6,5,256,Usaquén,Usaquén,$ 750.000.000
Apartamento,Apartamento en venta en Bella Suiza,2,2,78,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 400.000.000
Apartamento,Apartamento en venta en Pasadena ,3,4,105,Pasadena ,,$ 350.000.000
Apartamento,Apartamento en venta en Ciudad Bolívar,3,3,115,Ciudad Bolívar,CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo,$ 1.160.000.000
Apartamento,Apartamento en venta en Usaquén,4,4,205,Usaquén,Usaquén,$ 1.500.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,90,Cedritos,Usaquén,$ 460.000.000
Apartamento,Apartamento en venta en Chico Reservado,2,2,123,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 420.000.000
Apartamento,Apartamento en venta en Castilla,3,2,70,Castilla,KENNEDY: Castilla + Bavaria,$ 220.000.000
Casa,Casa en venta en Kennedy,3,3,86,Kennedy,Kennedy Central,$ 285.000.000
Apartamento,Apartamento en venta en Suba,3,2,80,Suba,Suba,$ 315.000.000
Apartamento,Apartamento en venta en Barrios Unidos,2,2,83,Barrios Unidos,Los Andes,$ 560.000.000
Apartamento,Apartamento en venta en Santa Fe,1,1,41,Santa Fe,SANTA FE: Las Nieves + Sagrado Corazón,$ 220.000.000
Casa,Casa en venta en Zona Noroccidental,4,3,200,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 890.000.000
Apartamento,Apartamento en venta en El Chicó,3,3,193,El Chicó,CHAPINERO: Chicó Lago + El Refugio,$ 980.000.000
Apartamento,Apartamento en venta en Chapinero,2,3,150,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 1.300.000.000
Casa,Casa en venta en Barrios Unidos,4,3,170,Barrios Unidos,Los Andes,$ 800.000.000
Casa,Casa en venta en Usaquén,4,2,216,Usaquén,Usaquén,$ 650.000.000
Apartamento,Apartamento en venta en Cedritos,2,2,66,Cedritos,Usaquén,$ 440.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Chapinero,7,1,56,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 280.000.000
Apartamento,Apartamento en venta en Santa Fe,3,2,92,Santa Fe,SANTA FE: Las Nieves + Sagrado Corazón,$ 430.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,60,Usaquén,Usaquén,$ 285.000.000
Casa,Casa en venta en Barrios Unidos,2,3,176,Barrios Unidos,Los Andes,$ 690.000.000
Apartamento,Apartamento en venta en Barrios Unidos,2,1,38,Barrios Unidos,Los Andes,$ 220.000.000
Apartamento,Apartamento en venta en Castilla,3,2,70,Castilla,KENNEDY: Castilla + Bavaria,$ 220.000.000
Apartamento,Apartamento en venta en Suba,3,2,80,Suba,Suba,$ 315.000.000
Apartamento,Apartamento en venta en Santa Fe,1,1,41,Santa Fe,SANTA FE: Las Nieves + Sagrado Corazón,$ 220.000.000
Apartamento,Apartamento en venta en Barrios Unidos,2,2,83,Barrios Unidos,Los Andes,$ 560.000.000
Casa,Casa en venta en Kennedy,3,3,86,Kennedy,Kennedy Central,$ 285.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,69,Usaquén,Usaquén,$ 410.000.000
Apartamento,Apartamento en venta en El Virrey,3,4,143,El Virrey,Comuneros,$ 1.000.000.000
Apartamento,Apartamento en venta en Bella Suiza,3,3,71,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 350.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,1,48,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 190.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,1,47,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 174.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,4,135,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 680.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,122,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 720.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,62,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 240.000.000
Apartamento,Apartamento en venta en Puente Largo,3,2,103,Puente Largo,La Alhambra,$ 468.270.000
Apartamento,Apartamento en venta en Bosa,3,1,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Chico Norte,1,2,66,Chico Norte,CHAPINERO: Chicó Lago + El Refugio,$ 790.000.000
Apartamento,Apartamento en venta en Chico Reservado,3,4,292,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 3.807.000.000
Apartamento,Apartamento en venta en Chico Norte,3,3,103,Chico Norte,CHAPINERO: Chicó Lago + El Refugio,$ 1.000.000.000
Apartamento,Apartamento en venta en El Batán,2,2,89,El Batán,La Alhambra,$ 450.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,69,Usaquén,Usaquén,$ 499.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,50,Usaquén,Usaquén,$ 360.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,73,Usaquén,Usaquén,$ 310.000.000
Edificio,Edificio en venta en Usaquén,12,7,1664,Usaquén,Usaquén,$ 16.000.000.000
Apartamento,Apartamento en venta en Engativa,3,2,55,Engativa,Engativá,$ 210.000.000
Casa,Casa en venta en Santa Ana,3,4,134,Santa Ana,Usaquén,$ 1.200.000.000
Apartamento,Apartamento en venta en Galerias,3,2,60,Galerias,Galerías,$ 430.000.000
Apartamento,Apartamento en venta en Cedritos,3,2,78,Cedritos,Usaquén,$ 320.000.000
Apartamento,Apartamento en venta en Cedritos,1,2,52,Cedritos,Usaquén,$ 375.000.000
Casa,Casa en venta en Los Mártires,4,4,355,Los Mártires,La Sabana,$ 620.000.000
Apartamento,Apartamento en venta en Santa Barbara,1,1,45,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 359.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,2,2,79,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 400.000.000
Apartamento,Apartamento en venta en Chapinero,4,6,396,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 2.750.000.000
Apartamento,Apartamento en venta en Chico Norte,1,1,42,Chico Norte,CHAPINERO: Chicó Lago + El Refugio,$ 425.000.000
Apartamento,Apartamento en venta en Usaquén,3,3,135,Usaquén,Usaquén,$ 950.000.000
Apartamento,Apartamento en venta en Chapinero Alto,3,3,180,Chapinero Alto,CHAPINERO: Pardo Rubio + Chapinero,$ 950.000.000
Casa,Casa en venta en Rafael Uribe Uribe,4,4,217,Rafael Uribe Uribe,Los Alcázares,$ 600.000.000
Apartamento,Apartamento en venta en Tintala,2,1,49,Tintala,Tintala,$ 135.000.000
Apartamento,Apartamento en venta en Lagos De Cordoba,3,3,108,Lagos De Cordoba,Niza,$ 587.000.000
Local,Local en venta en Galerias,10,6,350,Galerias,Galerías,$ 1.350.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 550.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,101,Usaquén,Usaquén,$ 630.000.000
Casa,Casa en venta en Fontibón,16,6,380,Fontibón,Fontibón,$ 760.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,62,Kennedy,Kennedy Central,$ 242.000.000
Apartamento,Apartamento en venta en Salitre ,4,3,101,Salitre ,ENGATIVÁ: Santa Cecilia + Jardín  Botánico,$ 615.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,1,1,57,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 345.000.000
Casa,Casa en venta en Gratamira,3,4,190,Gratamira,Niza,$ 740.000.000
Casa,Casa en venta en Zona Noroccidental,4,5,187,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.080.000.000
Apartamento,Apartamento en venta en Ciudadela Colsubsidio,3,1,50,Ciudadela Colsubsidio,Bolivia,$ 190.000.000
Apartamento,Apartamento en venta en Cedritos,1,2,46,Cedritos,Usaquén,$ 255.000.000
Casa,Casa en venta en Madelena,3,2,201,Madelena,Arborizadora,$ 280.000.000
Casa,Casa en venta en Madelena,4,2,210,Madelena,Arborizadora,$ 480.000.000
Casa,Casa en venta en Madelena,4,2,190,Madelena,Arborizadora,$ 350.000.000
Casa,Casa en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 130.000.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 148.000.000
Apartamento,Apartamento en venta en Bosa,3,2,52,Bosa,Bosa Central,$ 155.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,104,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 479.030.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 120.800.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 134.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.500.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 122.000.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 148.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 102.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 128.000.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 148.000.000
Apartamento,Apartamento en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 129.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 128.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 102.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,2,52,Bosa,Bosa Central,$ 155.000.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 153.500.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 129.000.000
Apartamento,Apartamento en venta en Bosa,3,1,42,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 102.000.000
Apartamento,Apartamento en venta en Bosa,2,1,48,Bosa,Bosa Central,$ 128.500.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,82,Usaquén,Usaquén,$ 450.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 153.500.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 129.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 102.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 129.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 128.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,2,52,Bosa,Bosa Central,$ 155.000.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 102.000.000
Apartamento,Apartamento en venta en Bosa,3,1,42,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,2,1,48,Bosa,Bosa Central,$ 128.500.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 153.500.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 129.000.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 148.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 153.500.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 129.000.000
Apartamento,Apartamento en venta en Usaquén,3,2,82,Usaquén,Usaquén,$ 450.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 136.000.000
Casa,Casa en venta en Fontibón,4,4,153,Fontibón,Fontibón,$ 612.000.000
Apartamento,Apartamento en venta en Engativa,3,1,53,Engativa,Engativá,$ 159.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 131.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 129.690.000
Casa,Casa en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 130.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 150.000.000
Casa,Casa en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 130.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 129.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 150.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 124.000.000
Apartamento,Apartamento en venta en Bosa,3,1,56,Bosa,Bosa Central,$ 150.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 128.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 120.800.000
Apartamento,Apartamento en venta en Bosa,3,1,56,Bosa,Bosa Central,$ 150.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 102.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 150.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.500.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 122.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 150.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 122.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 120.800.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 120.800.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 134.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 134.000.000
Apartamento,Apartamento en venta en Bosa,3,1,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Bosa,2,1,47,Bosa,Bosa Central,$ 130.000.000
Apartamento,Apartamento en venta en Bosa,3,1,46,Bosa,Bosa Central,$ 125.730.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 128.000.000
Apartamento,Apartamento en venta en Bosa,3,1,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 136.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,2,52,Bosa,Bosa Central,$ 155.000.000
Apartamento,Apartamento en venta en Bosa,2,1,48,Bosa,Bosa Central,$ 128.500.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 129.000.000
Apartamento,Apartamento en venta en Bosa,3,1,42,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 129.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 129.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 102.000.000
Casa,Casa en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 130.000.000
Apartamento,Apartamento en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 136.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 124.000.000
Apartamento,Apartamento en venta en Bosa,2,1,48,Bosa,Bosa Central,$ 130.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 128.000.000
Apartamento,Apartamento en venta en Bosa,3,1,42,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 136.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 153.500.000
Apartamento,Apartamento en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 129.000.000
Apartamento,Apartamento en venta en Bosa,3,1,56,Bosa,Bosa Central,$ 150.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 128.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 127.500.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 136.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.500.000
Casa,Casa en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 130.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 134.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.500.000
Apartamento,Apartamento en venta en Bosa,3,1,53,Bosa,Bosa Central,$ 142.000.000
Apartamento,Apartamento en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 136.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 150.000.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 136.000.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 147.300.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 128.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,3,2,60,Rafael Uribe Uribe,Los Alcázares,$ 255.000.000
Casa,Casa en venta en Normandia,3,3,124,Normandia,ENGATIVÁ: Santa Cecilia + Jardín  Botánico,$ 540.000.000
Apartamento,Apartamento en venta en La Uribe,3,2,64,La Uribe,Usaquén,$ 240.000.000
Apartamento,Apartamento en venta en Suba,3,1,48,Suba,Suba,$ 190.000.000
Apartamento,Apartamento en venta en Salitre ,3,2,64,Salitre ,ENGATIVÁ: Santa Cecilia + Jardín  Botánico,$ 466.000.000
Casa,Casa en venta en Kennedy,6,3,216,Kennedy,Kennedy Central,$ 498.000.000
Apartamento,Apartamento en venta en Usaquén,3,3,122,Usaquén,Usaquén,$ 609.000.000
Apartamento,Apartamento en venta en Usaquén,2,2,51,Usaquén,Usaquén,$ 336.000.000
Apartamento,Apartamento en venta en El Batán,3,3,120,El Batán,La Alhambra,$ 730.000.000
Apartamento,Apartamento en venta en Usaquén,2,1,51,Usaquén,Usaquén,$ 220.000.000
Apartamento,Apartamento en venta en Chico Reservado,3,4,175,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 1.150.000.000
Apartamento,Apartamento en venta en Alameda,3,2,97,Alameda,Engativá,$ 580.000.000
Apartamento,Apartamento en venta en Bella Suiza,3,3,117,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 620.000.000
Apartamento,Apartamento en venta en Chico Reservado,3,3,135,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 1.300.000.000
Apartamento,Apartamento en venta en Pasadena ,2,2,63,Pasadena ,,$ 350.000.000
Apartamento,Apartamento en venta en Gran America,3,2,80,Gran America,Quinta Paredes,$ 670.000.000
Apartamento,Apartamento en venta en Madelena,2,1,40,Madelena,Arborizadora,$ 179.999.999
Apartamento,Apartamento en venta en Parque Central Bavaria,1,2,68,Parque Central Bavaria,SANTA FE: Las Nieves + Sagrado Corazón,$ 460.000.000
Apartamento,Apartamento en venta en El Refugio,1,2,58,El Refugio,CHAPINERO: Chicó Lago + El Refugio,$ 651.000.000
Apartamento,Apartamento en venta en El Refugio,1,2,55,El Refugio,CHAPINERO: Chicó Lago + El Refugio,$ 622.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,87,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 419.999.999
Apartamento,Apartamento en venta en Mirandela ,3,2,76,Mirandela ,SUBA: La Academia + Guaymaral + San José de Bavaria,$ 280.000.000
Apartamento,Apartamento en venta en Ciudadela Colsubsidio,2,1,50,Ciudadela Colsubsidio,Bolivia,$ 193.000.000
Apartamento,Apartamento en venta en Ciudad Bolívar,4,3,101,Ciudad Bolívar,CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo,$ 460.000.000
Apartamento,Apartamento en venta en Ciudad Bolívar,3,1,54,Ciudad Bolívar,CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo,$ 179.999.000
Apartamento,Apartamento en venta en El Chicó,3,3,92,El Chicó,CHAPINERO: Chicó Lago + El Refugio,$ 640.000.000
Casa,Casa en venta en Engativa,3,2,82,Engativa,Engativá,$ 390.000.000
Casa,Casa en venta en Zona Noroccidental,6,3,144,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 536.000.000
Casa,Casa en venta en Zona Noroccidental,3,2,182,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 670.000.000
Casa,Casa en venta en Kennedy,9,5,445,Kennedy,Kennedy Central,$ 600.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 136.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 120.800.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 134.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 134.000.000
Apartamento,Apartamento en venta en Bosa,3,1,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Bosa,2,1,47,Bosa,Bosa Central,$ 130.000.000
Apartamento,Apartamento en venta en Bosa,3,1,46,Bosa,Bosa Central,$ 125.730.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 128.000.000
Apartamento,Apartamento en venta en Bosa,3,1,57,Bosa,Bosa Central,$ 145.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 120.800.000
Apartamento,Apartamento en venta en Bosa,3,1,56,Bosa,Bosa Central,$ 150.000.000
Apartamento,Apartamento en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 136.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,2,52,Bosa,Bosa Central,$ 155.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 102.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 150.000.000
Apartamento,Apartamento en venta en Bosa,3,1,42,Bosa,Bosa Central,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,2,1,48,Bosa,Bosa Central,$ 128.500.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 145.000.000
Apartamento,Apartamento en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 129.000.000
Apartamento,Apartamento en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 129.000.000
Casa,Casa en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 120.800.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 125.000.000
Apartamento,Apartamento en venta en Bosa,3,2,62,Bosa,Bosa Central,$ 153.500.000
Apartamento,Apartamento en venta en Bosa,3,1,48,Bosa,Bosa Central,$ 126.500.000
Apartamento,Apartamento en venta en Bosa,2,1,48,Bosa,Bosa Central,$ 128.500.000
Apartamento,Apartamento en venta en Bosa,3,2,52,Bosa,Bosa Central,$ 155.000.000
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 124.000.000
Apartamento,Apartamento en venta en Bosa,3,2,57,Bosa,Bosa Central,$ 147.300.000
Apartamento,Apartamento en venta en Barrios Unidos,2,2,91,Barrios Unidos,Los Andes,$ 380.000.000
Apartamento,Apartamento en venta en Kennedy,3,2,58,Kennedy,Kennedy Central,$ 280.000.000
Apartamento,Apartamento en venta en Los Mártires,2,1,37,Los Mártires,La Sabana,$ 188.000.000
Apartamento,Apartamento en venta en Chico Navarra,3,3,129,Chico Navarra,USAQUÉN: Country Club + Santa Bárbara,$ 770.000.000
Casa,Casa en venta en Zona Noroccidental,4,3,130,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 635.000.000
Casa,Casa en venta en Andes Norte,4,3,180,Andes Norte,La Floresta,$ 750.000.000
Apartamento,Apartamento en venta en Santa Barbara,3,3,114,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 600.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,3,125,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 650.000.000
Apartamento,Apartamento en venta en Gran Granada,3,2,90,Gran Granada,Garcés Navas,$ 410.000.000
Casa,Casa en venta en Engativa,18,6,238,Engativa,Engativá,$ 1.400.000.000
Apartamento,Apartamento en venta en San Cipriano,1,1,36,San Cipriano,Britalia,$ 218.000.000
Apartamento,Apartamento en venta en Barrios Unidos,3,4,125,Barrios Unidos,Los Andes,$ 449.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,78,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 348.000.000
Apartamento,Apartamento en venta en Chapinero,3,3,148,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 1.300.000.000
